tid,equipment,pid,vid,words,res
200,1,1,0,打开空调,空调已打开
201,1,1,1,关闭空调,空调已关闭
202,1,1001,1,太冷了/调高温度,温度已调高
203,1,1002,1,太热了/降低温度,温度已调低
204,1,1000,16,十六度,已设置为最低温度十六
205,1,1000,17,十七度,温度设置为十七
206,1,1000,18,十八度,温度设置为十八
207,1,1000,19,十九度,温度设置为十九
208,1,1000,20,二十度,温度设置为二十
209,1,1000,21,二十一度,温度设置为二十一
210,1,1000,22,二十二度,温度设置为二十二
211,1,1000,23,二十三度,温度设置为二十三
212,1,1000,24,二十四度,温度设置为二十四
213,1,1000,25,二十五度,温度设置为二十五
214,1,1000,26,二十六度,温度设置为二十六
215,1,1000,27,二十七度,温度设置为二十七
216,1,1000,28,二十八度,温度设置为二十八
217,1,1000,29,二十九度,温度设置为二十九
218,1,1000,30,三十度,已设置为最高温度三十
219,1,2002,1,减小风速,风速调低
220,1,2001,1,增大风速,风速调高
221,1,2000,0,自动风,风速自动
222,1,2000,1,低风速,风速已调至最高
223,1,2000,2,中风速,风速调调至中等
224,1,2000,3,高风速,风速已调至最高
225,1,3000,1,打开左右摆风,摆风开启
226,1,3000,0,关闭左右摆风,摆风关闭
227,1,4000,0,舒适模式/自动模式,模式设置为舒适
228,1,4000,1,制冷模式/关闭辅热,模式设置为制冷
229,1,4000,2,除湿模式,模式设置为除湿
230,1,4000,3,制热模式/加热模式,模式设置为制热
231,1,4000,4,送风模式,模式设置为送风
101,0,0,0,打开配网模式,
102,0,0,0,切换蓝牙模式,
103,0,0,0,切换WIFI模式,
104,0,0,0,开始播放/继续播放,
105,0,0,0,暂停播放/停止播放,
106,0,0,0,播放上一曲,
107,0,0,0,播放下一曲,
108,1,3000,2,打开上下摆风,上下开启摆风
109,1,3000,3,关闭上下摆风,上下关闭摆风
110,1,6000,1,打开新风,新风功能打开
112,1,6000,0,关闭新风,新风功能关闭
113,1,6001,0,打开强力,强力打开
114,1,6001,1,关闭强力,强力关闭
115,1,6002,0,打开静音,静音模式开启
116,1,6002,1,关闭静音,静音模式关闭
117,1,6003,0,打开自清洁,开启清洁
118,1,6003,1,关闭自清洁,关闭清洁
