tid,equipment,pid,vid,words,res,resagain
101,0,0,0,打开配网模式,,
102,0,0,0,切换蓝牙模式,,
103,0,0,0,切换WIFI模式,,
104,0,0,0,开始播放/继续播放,,
105,0,0,0,暂停播放/停止播放,,
106,0,0,0,播放上一曲,,
107,0,0,0,播放下一曲,,
200,2,1,0,打开灯/开灯,已为您开灯,灯已经是开的
201,2,1,1,把灯关了/关灯,已为您关灯,灯已经是关的
202,2,1009,1,调亮点/调亮一点/灯亮点/灯亮一点,已经调亮了,
203,2,1009,0,调暗点/调暗一点/灯暗点/灯暗一点,已经调暗了,
204,2,1008,0,灯光最亮/灯最亮/亮度最亮,灯光最亮,
205,2,1008,1,亮度最低/灯最暗,灯光最低,
206,2,1008,2,阅读模式,已调整为阅读模式,
207,2,1008,3,温馨模式,已调整为温馨模式,
208,2,1010,3,灯黄色,灯已变黄色,灯已是黄色的
209,2,1010,1,灯红色,灯已变红色,灯已是红色的
210,2,1010,6,灯蓝色,灯已变蓝色,灯已是蓝色的
211,2,1010,4,灯绿色,灯已变绿色,灯已是绿色的
212,2,1010,7,灯紫色,灯已变紫色,灯已是紫色的
213,2,1010,5,灯青色,灯已变青色,灯已是青色的
214,2,1010,2,灯橙色,灯已变橙色,灯已是橙色的
215,2,1010,0,灯白色,灯已变白色,灯已是白色的
216,2,1011,1,打开防雾,防雾打开,防雾模式已打开
217,2,1011,0,关闭防雾,防雾关闭,防雾模式已关闭
