tid,equipment,pid,vid,words,res,resagain
101,0,0,0,打开配网模式,,
102,0,0,0,切换蓝牙模式,,
103,0,0,0,切换WIFI模式,,
104,0,0,0,开始播放/继续播放,,
105,0,0,0,暂停播放/停止播放,,
106,0,0,0,播放上一曲,,
107,0,0,0,播放下一曲,,
200,8,1,0,打开油烟机,已开启,油烟机运行中
201,8,1,1,关闭油烟机,已关闭,未开启油烟机
202,8,1000,0,低风速/风速最低,设置完成,
203,8,1000,1,中风速/风速中等,设置完成,
204,8,1000,2,高风速/风速最高,设置完成,
205,8,1001,0,打开强力模式,已打开,已是强力模式
206,8,1001,1,关闭强力模式,已关闭,未开启强力模式
207,8,1002,0,打开灯光,已打开,灯已经是开的
208,8,1002,1,关闭灯光,已关闭,灯光未开启
209,8,1003,0,打开清洗,已打开,已是开启状态
210,8,1003,1,关闭清洗,已关闭,清洗未开启
